batch,loss,grad_norm,lr
0,6.942392826080322,0.3376071322802757,0.001
1,6.926541805267334,0.6131157894214689,0.001
2,6.936965465545654,0.7991363332046576,0.001
3,6.897281169891357,0.5676340301258144,0.001
4,6.891031265258789,0.39715431341573787,0.001
5,6.872475624084473,0.3472995316095454,0.001
6,6.843349456787109,0.6824636440635566,0.001
7,6.8219380378723145,0.9452893948934432,0.001
8,6.87360143661499,0.999999303707579,0.001
9,6.812479019165039,0.9999996060083494,0.001
10,6.774077892303467,0.9999992269793923,0.001
11,6.806124687194824,0.9999990597088577,0.001
12,6.88523006439209,0.999999256859245,0.001
13,6.817202568054199,0.5850137835033054,0.001
14,6.844035625457764,0.9196144502564978,0.001
15,6.839909076690674,0.9999991918560405,0.001
16,6.783290386199951,0.7083493756165625,0.001
17,6.864412784576416,0.9465916018166391,0.001
100000,6.920775413513184,0.9999994370264369,0.001
100001,6.843990325927734,0.9999991620355244,0.001
100002,6.860798358917236,0.7249658597725402,0.001
100003,6.826350212097168,0.6948255978275629,0.001
100004,6.831764221191406,0.9999991857376752,0.001
100005,6.779407978057861,0.41628264759941513,0.001
100006,6.826166152954102,0.791651270018921,0.001
100007,6.820993900299072,0.9999996422896545,0.001
100008,6.803799152374268,0.9999994860574664,0.001
100009,6.735339641571045,0.9999992182516855,0.001
100010,6.878859043121338,0.7608479214437727,0.001
100011,6.9629669189453125,0.5746570876937397,0.001
100012,6.845856189727783,0.7202633521545245,0.001
100013,6.8668060302734375,0.40457148498680423,0.001
100014,6.836015701293945,0.21259015511850132,0.001
100015,6.880080699920654,0.2772993952142608,0.001
100016,6.894634246826172,0.22722536825436643,0.001
100017,6.855712890625,0.29519569639864635,0.001
200000,6.888592720031738,0.3668908658294143,0.001
200001,6.881001949310303,0.5017417374460565,0.001
200002,6.898201942443848,0.6525305618863159,0.001
200003,6.833826065063477,0.40385122398741774,0.001
200004,6.907689094543457,0.4863134807848846,0.001
200005,6.859413146972656,0.38794924664134245,0.001
200006,6.79484224319458,0.3484179485633432,0.001
200007,6.917386531829834,0.42734306588521326,0.001
200008,6.8307976722717285,0.4939265476160823,0.001
200009,6.9289727210998535,0.7126210486079403,0.001
200010,6.901840686798096,0.40144001528814516,0.001
200011,6.859429359436035,0.10337135078666193,0.001
200012,6.867117881774902,0.11729118371643678,0.001
200013,6.932811260223389,0.07879266094451505,0.001
200014,6.916647911071777,0.04413761047160247,0.001
200015,6.922359466552734,0.02722579020072264,0.001
200016,6.874629497528076,0.04295552017309883,0.001
200017,6.924960136413574,0.024116897170944576,0.001
300000,6.919830799102783,0.016640336068356902,0.001
300001,6.893954753875732,0.026429526376305346,0.001
300002,6.921972274780273,0.010722050633134228,0.001
300003,6.920207977294922,0.012770043186545465,0.001
300004,6.907601833343506,0.02209942763940139,0.001
300005,6.907488822937012,0.016726304020361047,0.001
300006,6.91090202331543,0.013643287499800401,0.001
300007,6.897249221801758,0.03130183644628996,0.001
300008,6.885992527008057,0.029860410769548224,0.001
300009,6.932480812072754,0.0287281602829303,0.001
300010,6.920001029968262,0.023987290765699085,0.001
300011,6.903564453125,0.04170797852343695,0.001
300012,6.907070159912109,0.03415564189407738,0.001
300013,6.905993938446045,0.03703597900841094,0.001
300014,6.931963920593262,0.07192069374071909,0.001
300015,6.913301944732666,0.09700540929127707,0.001
300016,6.9014458656311035,0.06229992918329605,0.001
300017,6.8605523109436035,0.13152897890284257,0.001
400000,6.899945259094238,0.2197972539584111,0.001
400001,6.901604652404785,0.2516624146317138,0.001
400002,6.906569480895996,0.13016159740775032,0.001
400003,6.889334678649902,0.23698140143157082,0.001
400004,6.886245250701904,0.31902419580613495,0.001
400005,6.885934829711914,0.2743495996702218,0.001
400006,6.944368839263916,0.1485278270282225,0.001
400007,6.947267055511475,0.089767901854732,0.001
400008,6.908688545227051,0.024998953739766086,0.001
400009,6.9232869148254395,0.0425812365166424,0.001
400010,6.9249796867370605,0.016971705616902748,0.001
400011,6.932788848876953,0.013284604005369951,0.001
400012,6.92855978012085,0.015924561019040377,0.001
400013,6.926816940307617,0.010432647584524593,0.001
400014,6.931471347808838,0.010162844226592421,0.001
400015,6.926311492919922,0.011833719200674614,0.001
400016,6.926634311676025,0.012079986964933976,0.001
400017,6.922874927520752,0.013554342658081097,0.001
500000,6.923782825469971,0.015435674194050095,0.001
500001,6.930701732635498,0.011478909960985056,0.001
500002,6.914000511169434,0.024716309963461726,0.001
500003,6.92186975479126,0.01763463223117232,0.001
500004,6.9175496101379395,0.017713656808721893,0.001
500005,6.911634922027588,0.026074899414518272,0.001
500006,6.939440727233887,0.034405795031031645,0.001
500007,6.944007873535156,0.054073368007087064,0.001
500008,6.950141906738281,0.045721022753719684,0.001
500009,6.914013862609863,0.022361378065199455,0.001
500010,6.928808212280273,0.017140547823539538,0.001
500011,6.932698726654053,0.018840452365011816,0.001
500012,6.918680191040039,0.013541322376087172,0.001
500013,6.921605110168457,0.012079227328499953,0.001
500014,6.920512676239014,0.012382107567204691,0.001
500015,6.922257900238037,0.014200750547478833,0.001
500016,6.919049263000488,0.013543036840445053,0.001
500017,6.918236255645752,0.01391687165641101,0.001
600000,6.92246675491333,0.011922989626035682,0.001
